                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71569,                0.43563,                0.87168,                0.96181,                0.96182,                0.98587,                0.83836,                0.59837,                0.37706,                 0.8405,              0.0013268,              0.0013268,              0.0013268
                     37,                0.71542,                0.42448,                0.87833,                 0.9741,                0.94511,                0.98731,                 0.8342,                0.62076,                0.40005,                0.84649,               0.001307,               0.001307,               0.001307
                     38,                0.71867,                0.42896,                0.87491,                0.96424,                 0.9652,                0.98925,                0.82896,                0.63704,                0.39611,                0.84475,              0.0012872,              0.0012872,              0.0012872
                     39,                0.71888,                0.42019,                0.87355,                0.97286,                 0.9642,                0.98789,                0.84528,                0.59231,                0.36966,                0.83658,              0.0012674,              0.0012674,              0.0012674
                     40,                0.71414,                0.41914,                  0.873,                0.97573,                0.95959,                0.98883,                0.84764,                0.61394,                0.37182,                 0.8434,              0.0012476,              0.0012476,              0.0012476
                     41,                0.70977,                0.41864,                 0.8751,                0.97806,                0.95768,                0.98855,                0.84228,                0.58999,                0.37965,                0.83721,              0.0012278,              0.0012278,              0.0012278
                     42,                0.70552,                0.41165,                0.87399,                0.97588,                0.96565,                0.99048,                0.84042,                0.61421,                0.37264,                 0.8437,               0.001208,               0.001208,               0.001208
                     43,                0.69219,                0.41344,                 0.8693,                0.97578,                0.96144,                0.98977,                0.83807,                0.60303,                0.37249,                0.83401,              0.0011882,              0.0011882,              0.0011882
                     44,                0.68314,                 0.4035,                0.86731,                0.98238,                 0.9642,                0.99128,                0.84995,                0.59429,                0.36831,                0.84164,              0.0011684,              0.0011684,              0.0011684
                     45,                0.69208,                0.40287,                0.86824,                0.97333,                0.95823,                0.98808,                0.84373,                0.60228,                0.37373,                0.83428,              0.0011486,              0.0011486,              0.0011486
                     46,                0.68434,                0.40211,                0.86667,                0.96888,                0.95704,                0.98842,                0.84818,                0.59221,                0.37114,                 0.8335,              0.0011288,              0.0011288,              0.0011288
                     47,                0.68294,                0.39971,                0.86436,                0.98055,                0.96254,                0.99145,                0.86168,                0.57279,                0.35959,                0.83445,               0.001109,               0.001109,               0.001109
                     48,                0.67772,                0.39793,                0.86373,                 0.9821,                0.96181,                0.99204,                0.85496,                0.58131,                0.35916,                0.83063,              0.0010892,              0.0010892,              0.0010892
                     49,                0.67584,                 0.3992,                0.86164,                0.97515,                0.96181,                0.98864,                0.84751,                0.57451,                0.36533,                0.83105,              0.0010694,              0.0010694,              0.0010694
                     50,                0.66863,                0.39085,                0.86237,                0.97649,                 0.9642,                 0.9889,                0.84552,                0.60264,                0.36042,                0.83338,              0.0010496,              0.0010496,              0.0010496
                     51,                  0.668,                0.39018,                0.86299,                0.97882,                0.95943,                0.99027,                0.86356,                0.56046,                0.35289,                0.83412,              0.0010298,              0.0010298,              0.0010298
                     52,                0.66574,                 0.3897,                0.86518,                0.97808,                0.96659,                0.99183,                0.84976,                 0.5719,                0.35278,                0.83537,                0.00101,                0.00101,                0.00101
                     53,                0.66257,                0.39205,                0.85917,                0.97212,                 0.9642,                0.99055,                0.85622,                0.57547,                0.36019,                0.83422,              0.0009902,              0.0009902,              0.0009902
                     54,                0.65977,                0.38661,                0.86373,                0.98048,                  0.959,                0.98877,                 0.8476,                0.56884,                0.35543,                0.83077,              0.0009704,              0.0009704,              0.0009704
                     55,                0.65734,                0.38528,                0.85852,                0.97593,                0.96762,                0.98971,                0.85587,                0.56603,                0.34794,                0.83023,              0.0009506,              0.0009506,              0.0009506
                     56,                 0.6622,                0.38222,                0.86001,                 0.9805,                0.95981,                0.98851,                0.85558,                0.56413,                0.34554,                0.83056,              0.0009308,              0.0009308,              0.0009308
                     57,                0.65736,                0.38004,                0.85914,                  0.978,                0.95475,                0.99103,                0.84585,                 0.5715,                0.35104,                0.83089,               0.000911,               0.000911,               0.000911
                     58,                0.64998,                0.37688,                0.86236,                 0.9814,                0.96181,                0.99129,                0.86565,                0.56572,                0.34483,                0.82889,              0.0008912,              0.0008912,              0.0008912
                     59,                0.65332,                  0.381,                0.85968,                0.97345,                0.96268,                0.99158,                0.85409,                0.56218,                0.35092,                0.83131,              0.0008714,              0.0008714,              0.0008714
                     60,                0.65076,                0.38007,                0.85876,                0.98326,                0.96181,                0.99093,                0.85744,                0.55841,                0.34114,                0.83131,              0.0008516,              0.0008516,              0.0008516
                     61,                0.64754,                0.37604,                0.85642,                 0.9818,                0.96181,                0.99202,                0.85462,                 0.5657,                0.34914,                0.82941,              0.0008318,              0.0008318,              0.0008318
                     62,                0.63017,                0.37157,                 0.8556,                0.98241,                 0.9642,                0.99062,                0.86005,                0.56068,                0.33428,                0.82905,               0.000812,               0.000812,               0.000812
                     63,                0.64212,                0.37179,                0.85652,                0.98156,                0.96181,                0.98963,                0.86337,                0.55489,                0.33101,                 0.8268,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.6313,                0.36529,                0.85465,                0.98289,                0.95995,                0.99131,                0.85754,                0.56865,                0.33777,                0.82747,              0.0007724,              0.0007724,              0.0007724
                     65,                0.62581,                0.36017,                0.85612,                0.98117,                0.96181,                0.99075,                0.85583,                0.55398,                0.33494,                0.82611,              0.0007526,              0.0007526,              0.0007526
                     66,                0.63757,                0.36555,                0.85466,                0.97753,                 0.9642,                0.99094,                0.86148,                0.56096,                0.33184,                0.82474,              0.0007328,              0.0007328,              0.0007328
                     67,                0.62607,                0.36335,                0.85407,                 0.9807,                 0.9702,                 0.9919,                0.85787,                0.56218,                0.32673,                0.82432,               0.000713,               0.000713,               0.000713
                     68,                0.62326,                0.35811,                0.84927,                 0.9791,                0.96659,                0.99266,                 0.8719,                 0.5572,                0.32653,                0.82528,              0.0006932,              0.0006932,              0.0006932
                     69,                0.62941,                0.36344,                0.85069,                0.97816,                 0.9642,                0.99138,                0.85909,                0.55701,                0.32798,                0.82461,              0.0006734,              0.0006734,              0.0006734
                     70,                0.61697,                0.35306,                0.84969,                0.97591,                0.96697,                 0.9917,                0.86641,                0.55407,                0.32609,                0.82664,              0.0006536,              0.0006536,              0.0006536
                     71,                0.61527,                 0.3504,                0.85183,                0.97819,                0.96318,                0.99039,                 0.8561,                0.56257,                0.32856,                0.82668,              0.0006338,              0.0006338,              0.0006338
                     72,                0.61251,                0.35206,                0.84813,                 0.9782,                0.96366,                0.99029,                0.85682,                0.56055,                0.33013,                0.82532,               0.000614,               0.000614,               0.000614
                     73,                0.60499,                0.34854,                0.85064,                0.98724,                0.96181,                0.99139,                0.86875,                0.53504,                0.31063,                0.82403,              0.0005942,              0.0005942,              0.0005942
                     74,                0.60751,                0.34483,                0.85085,                0.98162,                 0.9642,                0.99172,                0.86792,                0.54079,                0.31517,                0.82448,              0.0005744,              0.0005744,              0.0005744
